,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
43,44,135,6,1762014,20103,74399,502,1836413,20605,3,23649,965535,11614,1282329,8552,2247864,20166,53,4,5,19589,True
44,45,135,6,506736,8610,74402,501,581138,9111,2,10106,819907,10056,1286822,8563,2106729,18619,55,4,5,18041,True
45,46,135,6,506252,8518,76358,501,582610,9019,2,9998,737955,9443,1358550,9058,2096505,18501,51,4,5,16295,True
46,47,135,6,1576400,18408,75690,506,1652090,18914,3,21608,758092,9334,1358856,9045,2116948,18379,50,4,5,16004,True
47,48,140,6,685510,9208,75619,501,761129,9709,2,10808,410989,5176,1353096,9042,1764085,14218,43,4,5,8669,True
48,49,140,6,557172,8334,76638,501,633810,8835,2,9782,652366,8236,1359965,9047,2012331,17283,47,4,5,13597,True
49,50,140,6,314802,6586,75912,501,390714,7087,2,7730,572362,6977,1281261,8544,1853623,15521,47,4,5,11616,True
50,51,104,6,375510,7914,75093,501,450603,8415,2,9309,810198,10546,1358395,9046,2168593,19592,51,4,5,17356,True
51,52,104,6,519153,9291,75844,501,594997,9792,2,10929,671509,8495,1352988,9052,2024497,17547,48,4,5,14136,True
52,53,104,6,589353,9648,74413,501,663766,10149,2,11349,786358,9480,1360475,9043,2146833,18523,48,4,5,15568,True
53,54,204,6,630070,16866,75172,501,705242,17367,2,19876,880955,11329,1364490,9061,2245445,20390,51,4,5,19098,True
54,55,204,6,621750,16922,74837,501,696587,17423,2,19942,748703,9110,1360655,9056,2109358,18166,47,4,5,15343,True
55,56,204,6,3023139,41735,78466,518,3101605,42253,4,49259,869867,10699,1357445,9051,2227312,19750,49,4,5,17892,True
56,57,144,6,963228,14510,75030,501,1038258,15011,2,17250,892951,10934,1361715,9060,2254666,19994,51,4,5,20291,True
57,58,144,6,474090,11782,74059,501,548149,12283,2,14052,896249,10647,1285484,8546,2181733,19193,50,4,5,18421,True
58,59,144,6,1772893,24335,74293,502,1847186,24837,3,29028,822786,9687,1286576,8541,2109362,18228,50,4,5,17512,True
59,60,150,6,1010277,11586,74420,501,1084697,12087,2,13629,874371,9755,1356281,9053,2230652,18808,50,4,5,17168,True
60,61,150,6,352126,7682,74564,501,426690,8183,2,9052,767400,9125,1362004,9044,2129404,18169,52,4,5,17307,True
61,62,150,6,453238,8802,75839,501,529077,9303,2,10372,918625,10333,1362681,9054,2281306,19387,53,4,5,18886,True
62,63,720,8,2724664,76759,76003,501,2800667,77260,2,87567,1542244,19288,1812023,12066,3354267,31354,83,5,6,35235,True
63,64,720,8,1584851,67998,74765,501,1659616,68499,2,77839,1374670,18197,1885384,12561,3260054,30758,81,5,6,32494,True
64,65,720,8,1821830,71922,73956,501,1895786,72423,2,82063,1444296,18513,1816945,12077,3261241,30590,85,5,6,34707,True
65,66,240,8,1360088,23656,75590,501,1435678,24157,2,26740,1484534,18832,1814970,12057,3299504,30889,85,5,6,34972,True
66,67,240,8,608009,17436,75564,501,683573,17937,2,19691,1577014,19772,1891269,12566,3468283,32338,82,5,6,35296,True
67,68,480,8,2539098,53869,75278,501,2614376,54370,2,60941,1092722,13413,1803375,12066,2896097,25479,82,5,6,26904,True
68,69,480,8,2867043,53572,74059,501,2941102,54073,2,60605,1302457,16629,1884238,12559,3186695,29188,79,5,6,30191,True
69,70,480,8,1814439,49117,74636,501,1889075,49618,2,55565,1218853,14795,1740910,11568,2959763,26363,88,5,6,31016,True
70,71,360,8,2394881,48919,74365,502,2469246,49421,3,55341,1540113,19484,1890322,12579,3430435,32063,81,5,6,34356,True
71,72,360,8,1472977,43474,75277,502,1548254,43976,3,49181,1499005,18020,1738189,11570,3237194,29590,83,5,6,31380,True
72,73,360,8,1076621,33772,75631,501,1152252,34273,2,38205,1423546,18180,1808907,12074,3232453,30254,80,5,6,31281,True
73,74,252,8,772074,15688,74308,501,846382,16189,2,17698,203761,2332,1891746,12552,2095507,14884,54,5,6,4325,True
74,75,252,8,1412098,19276,76125,501,1488223,19777,2,21746,220033,2384,1806165,12046,2026198,14430,56,5,6,4412,True
