,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
121,121,121,121,121,121,121,121,127,127,127.0,127.0,127.0,,,,,43,26714,21,904744618,20339549,75358,506,7848412488,102500275,4,21403784,49815105,600603,10985413,73273,334803108,3769380,510,6,29,770540,True
122,122,122,122,122,122,122,122,128,128,128.0,128.0,128.0,,,,,43,26714,21,838834492,19157108,76070,502,6033463372,19857610,3,20205144,44759262,556446,10770231,71796,354235944,6054178,484,6,28,718097,True
123,123,123,123,123,123,123,123,132,132,132.0,132.0,,,,,,45,15723,21,117111254,2120531,74880,502,-1060595028,10905165,3,2229141,33459918,411370,8144383,54248,208021505,1331236,436,6,26,525027,True
124,124,124,124,124,124,124,124,133,133,133.0,133.0,,,,,,45,15723,21,131251260,2005578,75680,501,2525307760,8324316,2,2109524,33896862,412822,7308576,48737,53616314,4754031,414,6,25,521088,True
125,125,125,125,125,125,125,125,134,134,134.0,134.0,,,,,,45,15723,21,84492138,2127256,75527,501,1338270660,11338785,2,2235169,32482694,400807,7995672,53245,203348562,2062156,431,6,25,513314,True
126,126,126,126,126,126,126,126,135,135,135.0,135.0,,,,,,46,17191,21,689042166,12822115,75333,502,2839737698,102880936,3,13514397,41063468,510116,10166441,67807,419839272,3111692,472,6,28,651707,True
127,127,127,127,127,127,127,127,136,136,136.0,136.0,,,,,,46,17191,21,358142351,12836502,76083,504,-157060856,64885030,3,13538484,45945410,550992,10398266,69274,82687352,4641862,457,6,28,703074,True
128,128,128,128,128,128,128,128,137,137,137.0,137.0,,,,,,46,17191,21,311601803,13169352,74533,502,263414384,53379416,3,13866085,45845323,557923,10018908,66763,127592693,3298744,510,6,29,709000,True
129,129,129,129,129,129,129,129,138,138,138.0,138.0,,,,,,47,18906,21,122892647,2068546,73985,501,-729168168,2469047,2,2173449,29776128,376749,8213893,54746,307940126,2094485,445,6,26,481774,True
130,130,130,130,130,130,130,130,139,139,139.0,139.0,,,,,,47,18906,21,102659416,1944415,74373,501,129201931,4589832,2,2042239,31719361,389067,8664113,57740,292684318,2634035,453,6,26,495592,True
131,131,131,131,131,131,131,131,140,140,140.0,140.0,,,,,,47,18906,21,128249730,2125369,74629,502,2603303217,4451742,3,2230799,29229944,367597,7765936,51740,211975280,2596685,433,6,25,469412,True
132,132,132,132,132,132,132,132,141,141,141.0,,,,,,,48,20045,21,96253435,2566444,75891,505,1994020682,18568643,3,2705257,28644252,368269,6932087,46231,151152678,2887000,381,6,23,462622,True
133,133,133,133,133,133,133,133,142,142,142.0,,,,,,,48,20045,21,139810692,2469842,76785,511,-750609730,13051765,3,2602187,30387849,380981,7776318,51764,283477503,1065490,412,6,24,492560,True
134,134,134,134,134,134,134,134,143,143,143.0,,,,,,,48,20045,21,59594488,2281859,75031,501,-530265073,5164720,2,2400544,33128910,410201,7153391,47708,262258408,4263272,387,6,23,517930,True
135,135,135,135,135,135,135,135,144,144,,,,,,,,49,27130,21,122464593,3744463,75249,502,-559728244,30259720,3,3942027,33292315,416298,8295121,55251,334286924,1614647,431,6,26,533178,True
136,136,136,136,136,136,136,136,145,145,,,,,,,,49,27130,21,221316792,4003055,74551,502,181196152,20517785,3,4215491,34295000,419802,7991395,53225,348291160,4357243,406,6,25,531851,True
137,137,137,137,137,137,137,137,146,146,,,,,,,,49,27130,21,185966734,3759441,75845,502,1744170316,23059658,3,3957735,34694730,430229,7753600,51742,57344990,2427884,429,6,26,549001,True
138,138,138,138,138,138,138,138,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12686,28,64168327,1569328,74253,502,2449698060,12758640,3,1630394,43307294,549621,9032866,60301,254040960,5079376,612,7,29,675024,True
139,139,139,139,139,139,139,139,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,12686,28,75327700,1511136,74815,501,-911311957,9469822,2,1569356,50518241,617747,9872835,65837,321564304,2850752,648,7,30,763520,True
140,140,140,140,140,140,140,140,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,12686,28,71587894,1691706,76011,503,1848360514,10353254,3,1757628,47701011,593933,10335408,68808,282145676,2088223,683,7,31,738906,True
141,141,141,141,141,141,141,141,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,22708,28,155469960,3136335,75667,501,327215212,15884180,2,3258737,49699783,620385,10287952,68507,169950940,4633352,688,7,31,778626,True
142,142,142,142,142,142,142,142,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,22708,28,122179223,3170173,75275,502,-611898608,19124050,3,3297096,49206873,592138,9122006,60797,243315516,6576415,592,7,28,731567,True
143,143,143,143,143,143,143,143,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,22708,28,219555528,3193199,76457,504,1144296674,19762218,3,3321204,53967441,638897,8818952,58786,519504751,3090732,624,7,30,786056,True
144,144,144,144,144,144,144,144,129,129,129.0,129.0,,,,,,44,14052,28,64262342,1639949,74491,501,-1396924093,2440450,2,1702466,48745872,595490,10403885,69307,494048299,4288782,691,7,31,742229,True
145,145,145,145,145,145,145,145,130,130,130.0,130.0,,,,,,44,14052,28,83155893,1647145,75546,501,1871495582,15128814,2,1706834,46493822,587219,9119360,60813,464905456,2644096,650,7,30,730336,True
146,146,146,146,146,146,146,146,131,131,131.0,131.0,,,,,,44,14052,28,74514595,1632807,74910,501,928801219,8666540,2,1693730,47621355,595862,10431993,69439,436373436,1930602,672,7,31,745529,True
